+,"BIBLExMAN","TangSu&igrave;&#156;&iexcl;","TEEDOG16","Mama Duck","JW","Whale","jinsooo","mesq","@YoungJefe&acirc;&#132;&cent;","Peachy&euml;&deg;&deg;","BenE","Bulbafett &atilde;&#131;&#132;","Eternyte","LunarDarkness","La'Taniana'Bo'Vanashrique Jones","jung","btiger8","BOT EZ","Flux","Kosonati","The Dank Knight","apL csgoroll.com","Bobby B","One Tap Man","Wloos","ProSnake117","Fly1ngF1sh","Who's Zed","Ghost1y","CoolChowlo","Iceman &acirc;&#156;&#136; assembly language dev","ma name is chilly","BezeeR","HellaSack","Nash","Moogs","Fox","PriNcE -SaiyajiN-","mango","bad reg high ping no mic"
"Bobby B",1.0,0.0,0,0,0,0.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Tap Man",0.0,0.4,0,0.0,0,0.0,0.3333333333333333,0.2,0.5,0.5,0,0,0.5,1.0,0,1.0,0,0,0.0,0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
"Wloos",0,0.5,0,0.0,0,0,0.2,0,0.0,0.2,0.0,0,0.0,0.3333333333333333,0,0.0,0,0,0.0,0,0,0,0,0,,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0
"ProSnake117",0,0,0,0,0.5,0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0
"Fly1ngF1sh",0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0
"Who's Zed",0.5,0,0,0,1.0,0,0,0,0.5,0,0,0,0.5,0,0,1.0,0,0,1.0,0,0,0,0,0,0,1.0,1.0,,0,1.0,1.0,0.5,0,0,0,0,0,0,0,0
"Ghost1y",0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,,0.0,0.0,0,0,0,0,0,0.0,0,0,0
"CoolChowlo",0,1.0,0,0.0,1.0,0,1.0,0.5,0.0,0,0,0,0.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0.0,,0.5,0,0,0,0,0,0,0,0,0
"Iceman &acirc;&#156;&#136; assembly language dev",0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0.0,0.5,,0,0,0,0,0,0,0,0,0
"ma name is chilly",0.5,0,0,0.0,0,0.0,0.0,1.0,0.5,1.0,0,0,0.5,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,,0.0,0,0,0.0,0,0,0,0
"BezeeR",0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0
"HellaSack",0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,0,0,0,0,0
"Nash",0,0,0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0,0,0,0,0
"Moogs",0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0,0,0
"Fox",0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,0,0
"PriNcE -SaiyajiN-",0.0,0.0,0,0.6666666666666666,0.5,0,1.0,0.6666666666666666,0.5,0.6666666666666666,0,0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"mango",0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
"bad reg high ping no mic",0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
